time_s,head_px,head_py,head_pz,head_qx,head_qy,head_qz,head_qw,gaze_px,gaze_py,gaze_pz,gaze_dx,gaze_dy,gaze_dz
10.497502,-0.000677,-0.000646,0.003186,0.023262,0.003592,0.000857,0.999723,0.000591,0.003889,0.007014,0.232174,-0.214486,0.948731
10.514309,-0.000617,-0.000641,0.003233,0.023291,0.002947,0.000230,0.999724,0.000480,0.003927,0.007076,0.229896,-0.209289,0.950445
10.531265,-0.000669,-0.000721,0.003314,0.023544,0.002548,-0.000262,0.999720,0.000438,0.004005,0.007102,0.228835,-0.211045,0.950313
10.564556,-0.000625,-0.000928,0.003286,0.023876,0.003119,-0.001054,0.999710,0.000300,0.004072,0.007209,0.229289,-0.211944,0.950003
10.581715,-0.000564,-0.001005,0.003260,0.024003,0.003940,-0.001077,0.999704,0.000231,0.004096,0.007265,0.229440,-0.213093,0.949710
10.614582,-0.000615,-0.000974,0.003168,0.024320,0.005637,-0.000177,0.999688,0.000275,0.004013,0.007269,0.228281,-0.213557,0.949885
10.631354,-0.000687,-0.000847,0.003123,0.024305,0.006086,0.000410,0.999686,0.000298,0.003986,0.007275,0.230546,-0.217414,0.948462
10.664733,-0.000881,-0.000710,0.003088,0.023926,0.005618,0.001543,0.999697,0.000371,0.003919,0.007142,0.232671,-0.216192,0.948222
10.697844,-0.001013,-0.000746,0.002989,0.023257,0.003868,0.001885,0.999720,0.000309,0.003903,0.007057,0.235149,-0.213533,0.948213
10.714521,-0.001040,-0.000606,0.002989,0.022907,0.002863,0.001468,0.999732,0.000270,0.003972,0.007048,0.235420,-0.221393,0.946342
10.731703,-0.000999,-0.000521,0.002907,0.022598,0.002181,0.000711,0.999742,0.000196,0.003944,0.007012,0.231831,-0.213018,0.949146
10.748471,-0.000940,-0.000536,0.002902,0.022300,0.001754,0.000084,0.999750,0.000125,0.003959,0.006935,0.232349,-0.212931,0.949039
10.765199,-0.000898,-0.000687,0.002601,0.022012,0.001794,-0.000283,0.999756,0.000033,0.004080,0.006912,0.236051,-0.215616,0.947518
10.798055,-0.000750,-0.000914,0.002444,0.021902,0.002880,-0.000209,0.999756,0.000034,0.004042,0.006620,0.232021,-0.208302,0.950146
10.815330,-0.000674,-0.001022,0.002451,0.022095,0.003672,0.000257,0.999749,0.000049,0.004017,0.006488,0.232697,-0.210168,0.949569
10.848379,-0.000739,-0.000788,0.002426,0.022452,0.005016,0.001090,0.999735,0.000081,0.003940,0.006379,0.232819,-0.212453,0.949031
